57,西北大学,"学习型社会进程中数字赋能学历继续教育 学习
支持服务建设",叶培哲,
58,西安理工大学,"机械设计制造及其自动化专业高等学历继续教育
课程思政建设探索与实践",李淑娟,
59,陕西理工大学,"基于区域经济发展的学历继续教育产教融合培养
模式改革创新",王磊,
60,"陕西铁路工程职
业技术学院",学历继续教育课程思政体系的探索与研究,刘明学,
61,西安科技大学,数字赋能高等学历继续教育教学管理的探索与实,代革联,
62,"宝鸡职业技术学
院","“一个面向两个依托三个推进” 打造区域农民学历
继续教育高地",王晓波,
63,西安交通大学,"打造高等教育自学考试省级网络助学平台样板，
助力国省两级平台规划统筹",李勇,
64,"西安电子科技大
学",数字化转型支持高等学历继续教育高质量发展,苗启广,
65,西安交通大学,"全过程信息化支持非脱产成人学生学历继续教育
的技术路线与管理体系研究 —— 以西安交通大
学高等学历继续教育为例",郭炜,
66,西北工业大学,高等学历继续教育优秀教材培育模式与路径研究,阮长江,
67,上海开放大学,"智慧教学空间下成人高校课程思政教学模式创新
与实践",王晓楠,
68,上海开放大学,"数智时代基于新商科人才培养的学历继续教育财
务管理专业建设改革与创新",孙慧,
69,上海中医药大学,"聚焦“专业-课程-师资” 的中医药高等学历继续教
育教学改革创新",舒静,
70,上海师范大学,"数字化应用型继续教育人力资源管理特色专业建
设研究",荣鹏飞,
71,上海师范大学,学前教育继续教育品牌特色专业建设,何慧华,
72,上海开放大学,开放教育办学全链条全过程质量管理体系建设,王国清,
73,上海师范大学,"基于管办分离的校外教学点全过程管理体系的建
设与实践",俞伟东,
74,"上海市普陀区业
余大学",社会工作专业教学团队建设的研究与实践,周雪梅,
75,上海理工大学,数字化优质资源共建共享项目,李建东,培育
76,华东师范大学,"数字化转型背景下的高等学历继续教育育人模式
创新实践",闫寒冰,
77,华东理工大学,"线上线下融合式继续教育工程人才培养模式探索
与实践",姚俊,培育
78,四川开放大学,"面向边远地区的学历继续教育数字化学习支持服
务样板工程",孙伟,
79,成都中医药大学,"数字化转型背景下中医药类学历继续教育系列教
材建设",冯全生,
80,阿坝师范学院,"民族地区美术类非遗人才学历继续教育教学改革
创新研究",黄洋,
81,"成都信息工程大
学","新时代高等学历继续教育“信息＋ ”全流程、个性
化管理模式探索与研究",易平,
82,四川开放大学,新就业形态群体继续教育的四川实践,杨永其,
83,宜宾学院,"“五位一体” 的农村基层干部学历提升教育教学模
式探究",单琰秋,
84,西南财经大学,"“智慧思政” ：数智技术赋能学历继续教育课程思
政与思政课程教学改革创新实践",顾绚,
85,电子科技大学,基于”E学社区“学历继续教育智慧服务平台探索,颜凯,
86,四川大学,"四川大学继续教育改革创新实践探索—— 自学考
试特色教材建设",汪东升,
87,天津城建大学,土木类专业（学历继续教育）课程思政建设,张海,
88,西藏藏医药大学,"西藏藏医药大学关于推进学历继续教育教学改革
创新项目",索朗平措,培育
89,"新疆轻工职业技
术学院","学历继续教育教学改革创新——专业化、服务型
教学创新团队建设",曾川江,
90,新疆师范大学,以“数字继教” 引领高等学历继续教育改革发展,徐宇生,培育
91,云南师范大学,"数字化赋能边疆区域高等学历继续教育高质量创
新发展体系建设",唐瑛,
92,昆明理工大学,"地方高校学历继续教育品牌特色专业（群）建设
的探索与实践",左红武,
93,玉溪师范学院,办学全链条、全过程管理体系建设,颜鸿淋,
94,浙江开放大学,新时代乡村振兴领雁人才培养创新与实践,王正东,
95,"义乌工商职业技
术学院","“一根红绳” 编织的继续教育礼仪课程思政探索与
实践",钱志芳,
96,"杭州科技职业技
术学院",校外教学点全过程数字化管理转型的探索与实践,袁俊,
97,宁波大学,基于“数治” 的学历继续教育“管办督评”体系建设,蔡真亮,
98,"金华职业技术学
院","基于“ 四融合” 的高职学前教育专业学历继续教育
教学改革创新",樊丰富,
99,浙江工业大学,高校学历继续教育“双结合” 教学模式的探索与实,李澎林,培育
100,"重庆工程职业技
术学院","煤矿智能开采技术专业学历继续教育教学改革创
新研究与实践",骆大勇,
,,,,
,,,,
